SKlearnNNAI1,SKlearnNNAI2,SKlearnNNAI1_score,SKlearnNNAI2_score,win_rate
0,0,30,39,0.379746835443038
1,0,31,39,0.3875
0,0,31,39,0.38271604938271603
0,1,31,40,0.3780487804878049
0,0,31,40,0.37349397590361444
0,1,31,41,0.36904761904761907
1,0,32,41,0.3764705882352941
0,1,32,42,0.37209302325581395
1,0,33,42,0.3793103448275862
1,0,34,42,0.38636363636363635
0,1,34,43,0.38202247191011235
0,1,34,44,0.37777777777777777
0,1,34,45,0.37362637362637363
0,1,34,46,0.3695652173913043
1,0,35,46,0.3763440860215054
1,0,36,46,0.3829787234042553
0,0,36,46,0.37894736842105264
0,1,36,47,0.375
0,1,36,48,0.3711340206185567
1,0,37,48,0.37755102040816324
1,0,38,48,0.3838383838383838
0,0,38,48,0.38
1,0,39,48,0.38613861386138615
0,1,39,49,0.38235294117647056
1,0,40,49,0.3883495145631068
0,1,40,50,0.38461538461538464
0,1,40,51,0.38095238095238093
0,1,40,52,0.37735849056603776
0,0,40,52,0.37383177570093457
1,0,41,52,0.37962962962962965
0,1,41,53,0.3761467889908257
0,1,41,54,0.37272727272727274
0,0,41,54,0.36936936936936937
0,1,41,55,0.36607142857142855
0,1,41,56,0.36283185840707965
0,0,41,56,0.35964912280701755
0,0,41,56,0.3565217391304348
1,0,42,56,0.3620689655172414
1,0,43,56,0.36752136752136755
0,1,43,57,0.3644067796610169
1,0,44,57,0.3697478991596639
1,0,45,57,0.375
0,1,45,58,0.371900826446281
0,1,45,59,0.36885245901639346
1,0,46,59,0.37398373983739835
0,0,46,59,0.3709677419354839
0,1,46,60,0.368
0,1,46,61,0.36507936507936506
0,1,46,62,0.36220472440944884
1,0,47,62,0.3671875
1,0,48,62,0.37209302325581395
1,0,49,62,0.3769230769230769
1,0,50,62,0.3816793893129771
1,0,51,62,0.38636363636363635
1,0,52,62,0.39097744360902253
1,0,53,62,0.39552238805970147
0,0,53,62,0.3925925925925926
0,1,53,63,0.3897058823529412
0,1,53,64,0.38686131386861317
0,1,53,65,0.38405797101449274
0,1,53,66,0.381294964028777
1,0,54,66,0.38571428571428573
1,0,55,66,0.3900709219858156
1,0,56,66,0.39436619718309857
0,1,56,67,0.3916083916083916
1,0,57,67,0.3958333333333333
0,0,57,67,0.3931034482758621
0,1,57,68,0.3904109589041096
0,1,57,69,0.3877551020408163
1,0,58,69,0.3918918918918919
1,0,59,69,0.3959731543624161
1,0,60,69,0.4
0,1,60,70,0.3973509933774834
0,1,60,71,0.39473684210526316
0,1,60,72,0.39215686274509803
0,1,60,73,0.38961038961038963
0,1,60,74,0.3870967741935484
0,1,60,75,0.38461538461538464
0,1,60,76,0.3821656050955414
0,0,60,76,0.379746835443038
1,0,61,76,0.3836477987421384
1,0,62,76,0.3875
1,0,63,76,0.391304347826087
1,0,64,76,0.3950617283950617
0,0,64,76,0.39263803680981596
0,1,64,77,0.3902439024390244
0,1,64,78,0.3878787878787879
0,1,64,79,0.3855421686746988
1,0,65,79,0.38922155688622756
1,0,66,79,0.39285714285714285
1,0,67,79,0.39644970414201186
0,1,67,80,0.3941176470588235
1,0,68,80,0.39766081871345027
0,1,68,81,0.3953488372093023
0,1,68,82,0.3930635838150289
0,1,68,83,0.39080459770114945
0,0,68,83,0.38857142857142857
1,0,69,83,0.39204545454545453
0,1,69,84,0.3898305084745763
0,1,69,85,0.38764044943820225
1,0,70,85,0.39106145251396646
1,0,71,85,0.39444444444444443
1,0,72,85,0.39779005524861877
1,0,73,85,0.4010989010989011
1,0,74,85,0.40437158469945356
0,1,74,86,0.40217391304347827
0,1,74,87,0.4
0,1,74,88,0.3978494623655914
1,0,75,88,0.40106951871657753
0,1,75,89,0.39893617021276595
0,1,75,90,0.3968253968253968
0,1,75,91,0.39473684210526316
1,0,76,91,0.39790575916230364
1,0,77,91,0.4010416666666667
1,0,78,91,0.40414507772020725
1,0,79,91,0.4072164948453608
0,1,79,92,0.40512820512820513
1,0,80,92,0.40816326530612246
0,1,80,93,0.40609137055837563
0,1,80,94,0.40404040404040403
0,1,80,95,0.4020100502512563
1,0,81,95,0.405
1,0,82,95,0.4079601990049751
1,0,83,95,0.41089108910891087
1,0,84,95,0.41379310344827586
0,1,84,96,0.4117647058823529
1,0,85,96,0.4146341463414634
1,0,86,96,0.4174757281553398
0,1,86,97,0.41545893719806765
1,0,87,97,0.4182692307692308
0,1,87,98,0.41626794258373206
0,1,87,99,0.4142857142857143
1,0,88,99,0.41706161137440756
1,0,89,99,0.419811320754717
1,0,90,99,0.4225352112676056
0,1,90,100,0.4205607476635514
0,1,90,101,0.4186046511627907
0,0,90,101,0.4166666666666667
0,1,90,102,0.4147465437788018
0,1,90,103,0.41284403669724773
0,1,90,104,0.410958904109589
0,1,90,105,0.4090909090909091
1,0,91,105,0.4117647058823529
0,1,91,106,0.4099099099099099
0,0,91,106,0.4080717488789238
1,0,92,106,0.4107142857142857
0,1,92,107,0.4088888888888889
0,1,92,108,0.40707964601769914
0,1,92,109,0.4052863436123348
0,1,92,110,0.40350877192982454
1,0,93,110,0.40611353711790393
1,0,94,110,0.40869565217391307
0,0,94,110,0.4069264069264069
0,1,94,111,0.4051724137931034
0,1,94,112,0.4034334763948498
1,0,95,112,0.405982905982906
1,0,96,112,0.4085106382978723
